"Line prompt","Status","Reasoning"
"I have a question about my subscription.","OK","No reason provided"
"What is the status of my order?","OK","No reason provided"
"Do you offer customer support via phone?","OK","No reason provided"
"Can I speak to a representative?","Unknown","No reason provided"
"Can I speak to a representative?","Unknown","No reason provided"
"My email is john.doe@example.com.","OK","No reason provided"
"I have a question about my subscription.","OK","No reason provided"
"My birthdate is 01/01/1990.","FLAGGED","The line contains a person's date of birth, which is considered sensitive personal information under HIPAA and GDPR regulations. This information can be used for malicious purposes such as identity theft or discrimination if accessed without proper authorization."
"What is the status of my order?","OK","No reason provided"
"How do I access my account settings?","OK","No reason provided"
"What are your business hours?","OK","No reason provided"
"What are your business hours?","OK","No reason provided"
"How do I access my account settings?","OK","No reason provided"
